id,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11,label12,label13,label14,label15,label16,label17,level
302,0.413333333,8.925159497,4.473333333,47.29514906,113.644259,15733.17,0,130.9660168,3.766666667,5.77,0,-5.782223205,0,11.13545992,44065.55333,16437.57333,43361.15,2
303,0.773333333,-82.13176487,0,7.406910262,2472.371889,0,0.853333333,2749.296793,7.313333333,2.253333333,0,78.85454534,0,-100.0012923,3310.466667,3077.496667,232.97,3
304,0.646666667,14.7487979,7.55,50.6334933,177.0439097,23541.26667,0,177.0651077,1523.253333,40.36333333,0,22.77912151,0,17.11235001,42380.66333,19944.87333,45977.05667,2
305,274.1633333,20.03647596,6.593333333,77.30972575,114.2219801,0,0,115.5713775,2397.036667,1140.686667,0,-5.763709336,0,2.87,3601.546667,826.91,182.6733333,2
306,2.333333333,16.94898901,11.05333333,85.30558131,59.7381032,29606.66667,4.32,106.0942414,6.426666667,0,4311,-7.07953098,-7.2,3.49784059,14290.66667,2331.666667,41565.66667,3
307,36.74,22.2164948,4.2,13.84446626,137.4140928,1159.323333,0,246.819477,101.8233333,1208.04,0,41.69705785,0,13.05333333,3926.226667,3013.416667,2072.133333,3
308,2.333333333,43.27408134,28.84,54.05168597,155.0684767,8887.666667,40.97666667,198.2934981,2.403333333,0,1166.666667,3.970769985,0.896666667,32.49975542,10793,5375.333333,14305.33333,2
309,0.476666667,-5.761032154,-0.836666667,41.90844716,162.144791,2608.813333,0,184.3171233,2.396666667,1.286666667,0,-2.108997386,0,-4.409656223,4302.35,2148.623333,4762.54,3
310,4.946666667,28.58391308,0,53.5907247,217.8267814,14528.59333,17.09333333,217.8267814,4.833333333,12.21666667,0,72.90773341,0,2.335762293,3621.213333,1231.496667,16918.31,3
311,1.493333333,-1.495284653,0,71.04997795,94.61263625,11901.93,3.663333333,99.65645233,39.26333333,20.65666667,0,6.333889216,0,0.555228264,7530.45,3145.46,16286.92,2
312,1.006666667,0.657366946,0,37.28469552,195.409841,512.33,-61.17333333,246.830517,7.986666667,2.666666667,0,-61.50589949,0,1.088220866,707.73,455.5433333,764.5166667,4
313,1.553333333,5.157881527,2.886666667,41.14697069,113.4607747,710.2566667,0,133.4491539,1.03,20.98666667,0,39.18330231,0,2.198800878,703.3233333,187.3466667,1226.233333,4
314,1.03,2.233333333,0,35.09418174,138.503035,1906414.667,2.303333333,138.503035,0,7.946666667,0,-6.514115868,0,0,1962.153333,1254.236667,27376.33333,3
